spp,n_obs,old_exp_si,old_exp_sir,n_exp_si,n_obsvexp,n_lit,mass_g,range_km2,at,p_helm,p_prot,p_virus,p_close,p_nonclose,p_total,cit_wos,p_total_resid,p_close_resid,p_nonclose_resid,p_helm_resid,p_virus_resid,p_prot_resid;
Alouatta_caraya,5,7,8,6,1.2,7.900000007,5575.960005,1534735.348,0,9,10,0,7,9,22,259.9999998,0.583701594,0.766804968,0.882923705,0.362544516,-1.139544419,1.239806702;
Ateles_geoffroyi,15,36,22,30,2,14.28999999,7581.399994,806608.1904,0,9,3,1,1.000000002,2.000000002,13.00000001,260.9999998,-0.121759531,-0.835490034,-0.481675389,0.361497375,-0.285861311,-0.014482598;
Cebus_apella,12,20,18,17,1.416666667,6.899999995,2757.379998,10768850.82,0,6,8,1,2.000000002,2.999999997,15.00000001,1250.000001,-0.731879777,-1.011276281,-0.725839123,-0.458882483,-1.099101337,0.524775752;
Cebus_capucinus,6,9,10,8,1.333333333,17.14999998,3004.989997,431036.87,0,15,4,0,0,0,20.00000001,292.9999997,0.393909034,-1.683316911,-1.767592434,0.846879572,-1.201477823,0.227645374;
Cercopithecus_aethiops,8,11,13,10,1.25,23.31000001,3694.990004,994896.5399,1,18,11,12,15.99999999,15.00000001,48,736.0000002,1.124731184,1.209572508,1.036678626,0.784241058,1.486827976,1.038631425;
Cercopithecus_mitis,16,43,21,36,2.25,15.00000001,5040.290001,2341817.13,0,13,14,3,14,15.00000001,30.99999998,98.00000009,1.547348767,1.89195311,1.768466045,0.99806382,1.0760721,1.912546162;
Colobus_guereza,8,13,13,12,1.5,6.599999995,9924.87999,3994316.481,0,11,3,5,7.999999991,9,20.00000001,111.0000001,0.887358636,1.2512939,1.191326081,0.794735634,1.512427898,0.238459592;
Lemur_catta,12,16,17,14,1.166666667,15.44999999,2625.479999,61777.69996,1,0,0,0,2.000000002,2.000000002,9,496.0000003,-0.92593784,-0.631035342,-0.715065714,-2.346333134,-1.474582543,-1.922354785;
Macaca_arctoides,19,31,26,26,1.368421053,14,9357.039996,1236023.141,1,0,0,2,2.000000002,0,2.000000002,394.0000003,-2.514651483,-0.536417033,-1.875241079,-2.283433915,0.001115762,-1.853987194;
Macaca_assamensis,19,36,26,30,1.578947368,20.00000001,8545.890009,1383529.1,1,1,1,0,0,0,2.000000002,53.99999994,-1.506589006,-0.992848148,-1.156546014,-0.981206984,-0.329512289,-0.408530923;
Macaca_fascicularis,10,20,15,17,1.7,25.99999999,4568.320002,2197586.408,0,13,10,6,6,9,32.00000001,2389,-0.03699953,-0.299574725,0.075656107,0.126218286,0.110657705,0.580689797;
Macaca_mulatta,28,34,35,30,1.875,37.50000004,6454.190005,6566546.226,1,7,3,22,18,9,33,4622.999996,-0.332138152,0.581552529,-0.164923252,-0.669995672,1.235860982,-0.868889279;
Macaca_radiata,16,25,22,21,1.3125,32.5,4998.990003,679815.2992,0,0,5,6,3.999999996,2.999999997,13.00000001,396.0000002,-0.334253218,0.0513403,-0.307442445,-2.284816882,1.044455947,0.364105658;
Miopithecus_talapoin,8,11,13,10,1.25,90.19999993,1247.860001,258765.21,0,2,2,2,2.000000002,0,6,33,-0.059951253,0.473811466,-0.98121583,-0.403550121,1.276893148,0.236904585;
Pan_troglodytes,7,10,11,9,1.285714286,48.99999996,44999.00002,1898946.601,1,19,18,19,20.00000001,20.00000001,67.00000005,1888,1.107853536,1.065866644,1.001473646,0.582926307,1.529008445,1.327754218;
Papio_ursinus,14,24,21,20,1.428571429,46.00000001,17728.43999,2566297.352,1,22,14,8,30.00000001,29.00000002,60.99999993,280.0000001,1.951213395,2.300452001,2.099918756,1.258407522,1.534465,1.602044948;
Eulemur_fulvus,11,16,16,14,1.272727273,8.149999999,2375.990002,25655.44,0,10,2,0,2.999999997,2.999999997,19.00000002,180.0000001,0.57279267,0.11721507,-0.021124283,0.567599138,-0.949142976,-0.260778587;
Saguinus_fuscicollis,7,10,12,9,1.285714286,4.999999995,392.99,1978747.26,0,19,4,0,2.000000002,2.000000002,25,212.9999998,0.858959131,-0.283951172,-0.40790549,1.179274008,-1.03626375,0.322174763;
Saguinus_mystax,6,9,10,8,1.333333333,4.400000002,554.87,557859.6301,0,11,0,0,1.000000002,1.000000002,11.99999999,143,0.079252617,-0.588946892,-0.722581476,0.725918969,-0.830184145,-1.553653828;
Theropithecus_gelada,7,15,12,13,1.857142857,9,15963.11001,153881.4999,1,1,0,0,0,0,1.000000002,92.0000001,-2.349748507,-1.209212484,-1.348022675,-1.12503906,-0.602750202,-1.423524527;
